InventoryItem(productName=TrailTracker GPS Device, quantity=6, arrivalDate=2025-04-16, manufacturer=Trailblazer Outfitters, category=fishing supplies)
InventoryItem(productName=NatureSeeker Binoculars, quantity=389, arrivalDate=2024-03-19, manufacturer=Outdoor Discovery Co., category=mountain biking)
InventoryItem(productName=WildernessSurvivor Survival Kit, quantity=768, arrivalDate=2024-10-08, manufacturer=Nature's Trail Gear, category=mountain biking)
InventoryItem(productName=OutdoorGear Hammock, quantity=756, arrivalDate=2024-04-06, manufacturer=Wilderness Outfitters, category=mountain biking)
InventoryItem(productName=OutdoorGear Hammock, quantity=326, arrivalDate=2024-12-16, manufacturer=Peak Performance Gear, category=hiking equipment)
InventoryItem(productName=OutdoorMaster Camping Stove, quantity=931, arrivalDate=2025-02-04, manufacturer=Explorers Equipment, category=climbing)
InventoryItem(productName=AdventurePro Backpack, quantity=130, arrivalDate=2025-01-20, manufacturer=Nature's Edge Equipment, category=fishing supplies)
InventoryItem(productName=AdventurePro Backpack, quantity=946, arrivalDate=2024-12-12, manufacturer=Outdoor Gear Emporium, category=hiking equipment)
InventoryItem(productName=TrailBlazer Camping Tent, quantity=414, arrivalDate=2025-03-07, manufacturer=Trailblazer Gear, category=climbing)
InventoryItem(productName=OutdoorGear Hammock, quantity=812, arrivalDate=2024-04-27, manufacturer=Nature's Trail Gear, category=fishing supplies)
InventoryItem(productName=NatureSeeker Binoculars, quantity=844, arrivalDate=2025-03-01, manufacturer=Alpine Adventure Co., category=backpacking)
InventoryItem(productName=OutdoorMaster Camping Stove, quantity=288, arrivalDate=2024-07-24, manufacturer=Peak Performance Gear, category=mountain biking)
InventoryItem(productName=OutdoorMaster Camping Stove, quantity=409, arrivalDate=2024-04-10, manufacturer=Pioneer Gearworks, category=skiing)
InventoryItem(productName=WildernessSurvivor Survival Kit, quantity=847, arrivalDate=2025-02-09, manufacturer=Nature's Best Gear, category=hiking equipment)
InventoryItem(productName=CampfirePro Cooking Set, quantity=124, arrivalDate=2025-01-10, manufacturer=Summit Seekers, category=fishing supplies)
InventoryItem(productName=CampfirePro Cooking Set, quantity=430, arrivalDate=2025-09-15, manufacturer=Trailblazer Outfitters, category=camping gear)
InventoryItem(productName=CampfirePro Cooking Set, quantity=510, arrivalDate=2024-01-30, manufacturer=Outdoor Gear Emporium, category=climbing)
InventoryItem(productName=CampfirePro Cooking Set, quantity=886, arrivalDate=2024-05-24, manufacturer=Peak Performance Gear, category=backpacking)
InventoryItem(productName=HikePro Trekking Poles, quantity=635, arrivalDate=2024-12-14, manufacturer=Outdoor Provisions Ltd., category=camping gear)
InventoryItem(productName=NatureSeeker Binoculars, quantity=829, arrivalDate=2024-07-12, manufacturer=Nature's Best Gear, category=skiing)
InventoryItem(productName=OutdoorGear Hammock, quantity=625, arrivalDate=2025-01-25, manufacturer=Backcountry Essentials, category=hiking equipment)
InventoryItem(productName=OutdoorMaster Camping Stove, quantity=842, arrivalDate=2024-03-18, manufacturer=Outdoor Discovery Co., category=camping gear)
InventoryItem(productName=NatureSeeker Binoculars, quantity=325, arrivalDate=2025-02-02, manufacturer=Peak Performance Gear, category=backpacking)
InventoryItem(productName=OutdoorGear Hammock, quantity=708, arrivalDate=2024-08-16, manufacturer=Summit Seekers, category=climbing)
InventoryItem(productName=ExplorerX Hiking Boots, quantity=666, arrivalDate=2024-08-31, manufacturer=Backcountry Bound, category=mountain biking)
InventoryItem(productName=NatureSeeker Binoculars, quantity=453, arrivalDate=2024-05-08, manufacturer=Trailblazer Gear, category=mountain biking)
InventoryItem(productName=CampfirePro Cooking Set, quantity=582, arrivalDate=2024-10-24, manufacturer=Outdoor Pursuits Co., category=skiing)
InventoryItem(productName=ExplorerX Hiking Boots, quantity=815, arrivalDate=2024-03-31, manufacturer=Outdoor Discovery Co., category=mountain biking)
