product_name,quantity,arrival_date,manufacturer,category
TrailTracker GPS Device,6,2025-04-16,Trailblazer Outfitters,fishing supplies
NatureSeeker Binoculars,389,2024-03-19,Outdoor Discovery Co.,mountain biking
WildernessSurvivor Survival Kit,768,2024-10-08,Nature's Trail Gear,mountain biking
OutdoorGear Hammock,756,2024-04-06,Wilderness Outfitters,mountain biking
OutdoorGear Hammock,326,2024-12-16,Peak Performance Gear,hiking equipment
OutdoorMaster Camping Stove,931,2025-02-04,Explorers Equipment,climbing
AdventurePro Backpack,130,2025-01-20,Nature's Edge Equipment,fishing supplies
AdventurePro Backpack,946,2024-12-12,Outdoor Gear Emporium,hiking equipment
TrailBlazer Camping Tent,414,2025-03-07,Trailblazer Gear,climbing
OutdoorGear Hammock,812,2024-04-27,Nature's Trail Gear,fishing supplies
NatureSeeker Binoculars,844,2025-03-01,Alpine Adventure Co.,backpacking
OutdoorMaster Camping Stove,288,2024-07-24,Peak Performance Gear,mountain biking
OutdoorMaster Camping Stove,409,2024-04-10,Pioneer Gearworks,skiing
WildernessSurvivor Survival Kit,847,2025-02-09,Nature's Best Gear,hiking equipment
CampfirePro Cooking Set,124,2025-01-10,Summit Seekers,fishing supplies
CampfirePro Cooking Set,430,2025-09-15,Trailblazer Outfitters,camping gear
CampfirePro Cooking Set,510,2024-01-30,Outdoor Gear Emporium,climbing
CampfirePro Cooking Set,886,2024-05-24,Peak Performance Gear,backpacking
HikePro Trekking Poles,635,2024-12-14,Outdoor Provisions Ltd.,camping gear
NatureSeeker Binoculars,829,2024-07-12,Nature's Best Gear,skiing
OutdoorGear Hammock,625,2025-01-25,Backcountry Essentials,hiking equipment
OutdoorMaster Camping Stove,842,2024-03-18,Outdoor Discovery Co.,camping gear
NatureSeeker Binoculars,325,2025-02-02,Peak Performance Gear,backpacking
OutdoorGear Hammock,708,2024-08-16,Summit Seekers,climbing
ExplorerX Hiking Boots,666,2024-08-31,Backcountry Bound,mountain biking
NatureSeeker Binoculars,453,2024-05-08,Trailblazer Gear,mountain biking
CampfirePro Cooking Set,582,2024-10-24,Outdoor Pursuits Co.,skiing
